City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,hagere selam,6.4833,38.5167,46.85,89,63,1.63,ET,1680574163
311,pionerskiy,54.9508,20.2275,31.84,62,9,15.9,RU,1680574163
312,airai,-8.9266,125.4092,72.57,58,85,2.24,TL,1680574163
313,reigate,51.2376,-0.2078,38.86,71,0,4.61,GB,1680574164
314,orzhytsya,49.7918,32.7012,42.35,90,100,8.9,UA,1680574164
315,tuy hoa,13.0833,109.3,85.42,66,14,5.46,VN,1680574165
316,klyuchi,52.2667,79.1667,36.1,46,0,5.91,RU,1680574165
317,vila,42.0304,-8.1588,44.71,69,100,4.09,PT,1680574165
318,samarai,-10.6167,150.6667,83.68,75,100,8.34,PG,1680574166
319,oriximina,-1.7656,-55.8661,74.07,93,92,2.06,BR,1680574166
320,grand forks,47.9417,-97.4337,19.13,86,100,16.11,US,1680574044
321,matamoros,25.5333,-103.25,89.71,14,75,5.75,MX,1680574166
322,zhangye,38.9342,100.4517,35.94,59,100,24.32,CN,1680574134
323,clyde river,70.4692,-68.5914,-11.42,83,3,6.44,CA,1680574159
324,derzhavinsk,51.1,66.3167,36.81,64,60,10.65,KZ,1680574167
325,charters towers,-20.1,146.2667,85.19,54,28,4.16,AU,1680574168
326,kavaratti,10.5669,72.642,81.21,71,100,8.08,IN,1680574168
327,tres arroyos,-38.3739,-60.2798,58.93,86,64,7.18,AR,1680574168
328,yaguachi,-2.1167,-79.6833,82.38,98,100,2.3,EC,1680574169
329,greeneville,36.1632,-82.831,59.88,51,100,4.61,US,1680574164
330,ereymentau,51.6199,73.1033,36.63,41,0,5.59,KZ,1680574169
331,vadso,70.0744,29.7487,28.56,80,100,18.41,NO,1680574170
332,port hedland,-20.3167,118.5667,89.65,62,45,4.61,AU,1680574170
333,kawalu,-7.3817,108.2082,80.46,75,100,1.14,ID,1680574171
334,adelanto,34.5828,-117.4092,42.98,33,0,31.94,US,1680574171
335,portland,45.5234,-122.6762,47.73,78,75,3.44,US,1680573939
336,palmer,42.1584,-72.3287,48.42,65,75,10.36,US,1680574172
337,marsa matruh,31.3525,27.2453,61.7,83,0,15.59,EG,1680574172
338,inyonga,-6.7167,32.0667,62.06,98,100,2.17,TZ,1680574173
339,vila velha,-20.3297,-40.2925,76.95,78,75,5.75,BR,1680574014
340,puerto del rosario,28.5004,-13.8627,64.15,77,20,18.41,ES,1680574173
341,kropotkin,45.4375,40.5756,45.97,91,17,3.44,RU,1680574174
342,san luis,-33.295,-66.3356,65.53,75,100,11.21,AR,1680574175
343,yanam,16.7333,82.2167,82.13,76,100,2.75,IN,1680574175
344,durres,41.3231,19.4414,50.18,84,100,12.66,AL,1680574176
345,okha,53.5739,142.9478,29.46,94,100,19.71,RU,1680574176
346,aripuana,-9.1667,-60.6333,71.92,93,100,2.3,BR,1680574177
347,talnakh,69.4865,88.3972,-12.8,96,100,7.54,RU,1680574177
348,richards bay,-28.783,32.0377,72.43,75,100,14.92,ZA,1680574178
349,havre-saint-pierre,50.2334,-63.5986,27.61,76,100,7.58,CA,1680574106
350,havre,49.5833,0.3333,37.17,75,0,5.75,FR,1680574179
351,eureka,40.8021,-124.1637,47.93,74,35,7.0,US,1680574179
352,pokhara,28.2333,83.9833,71.04,36,26,0.47,NP,1680574180
353,sokoto,13.0609,5.239,80.33,9,13,6.6,NG,1680574180
354,teluk nibung,3.001,99.8164,79.14,81,100,4.45,ID,1680574180
355,tual,-5.6667,132.75,80.6,77,100,8.14,ID,1680574035
356,rocha,-34.4833,-54.3333,61.34,90,100,1.05,UY,1680574180
357,socorro,31.6546,-106.3033,76.32,4,0,24.16,US,1680574181
358,burlington,39.8835,-74.6413,55.53,77,0,10.36,US,1680574178
359,sept-iles,50.2001,-66.3821,28.06,89,100,1.99,CA,1680574181
360,batagay-alyta,67.8006,130.4114,11.21,69,100,1.48,RU,1680574181
361,pueblo,38.2545,-104.6091,67.48,16,94,5.99,US,1680574020
362,nome,64.5011,-165.4064,15.87,73,100,3.44,US,1680574182
363,chornobay,49.6708,32.3239,40.66,91,100,9.69,UA,1680574183
364,vestmannaeyjar,63.4427,-20.2734,46.35,90,100,28.52,IS,1680574183
